id,subfolder,target,pa_conj
air/Royal_Society_Corpus_open_v6.0_text_105074_1751.txt/3460,1750,['air/N'],['rotation/N']
air/Royal_Society_Corpus_open_v6.0_text_105023_1751.txt/3404,1750,['air/N'],['thing/N']
air/Royal_Society_Corpus_open_v6.0_text_105016_1751.txt/1651,1750,['air/N'],['P./P']
air/Royal_Society_Corpus_open_v6.0_text_105166_1753.txt/233,1750,['air/N'],['earth/N']
air/Royal_Society_Corpus_open_v6.0_text_105074_1751.txt/1975,1750,['air/N'],['vapour/N']
air/Royal_Society_Corpus_open_v6.0_text_105381_1759.txt/9972,1755,['air/N'],['earth/N']
air/Royal_Society_Corpus_open_v6.0_text_105255_1757.txt/1696,1755,['air/N'],['wine/N']
air/Royal_Society_Corpus_open_v6.0_text_105263_1757.txt/2821,1755,['air/N'],['water/N']
air/Royal_Society_Corpus_open_v6.0_text_105381_1759.txt/9913,1755,['air/N'],['flux/N']
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/1425,1755,['air/N'],['air/N']
air/Royal_Society_Corpus_open_v6.0_text_105743_1763.txt/6853,1760,['air/N'],['Tourmalin/P']
air/Royal_Society_Corpus_open_v6.0_text_105743_1763.txt/9300,1760,['air/N'],['crowding/N']
air/Royal_Society_Corpus_open_v6.0_text_105710_1763.txt/2357,1760,['air/N'],['itself/P']
air/Royal_Society_Corpus_open_v6.0_text_105743_1763.txt/7157,1760,['air/N'],['wind/N']
air/Royal_Society_Corpus_open_v6.0_text_105743_1763.txt/7200,1760,['air/N'],['room/N']
air/Royal_Society_Corpus_open_v6.0_text_105458_1765.txt/4365,1765,['air/N'],['they/P']
air/Royal_Society_Corpus_open_v6.0_text_105936_1767.txt/2350,1765,['air/N'],['air/N']
air/Royal_Society_Corpus_open_v6.0_text_105438_1765.txt/9013,1765,['air/N'],['salt/N']
air/Royal_Society_Corpus_open_v6.0_text_105491_1766.txt/14337,1765,['air/N'],['zinc/N']
air/Royal_Society_Corpus_open_v6.0_text_105459_1765.txt/2492,1765,['air/N'],['earth/N']
air/Royal_Society_Corpus_open_v6.0_text_106095_1771.txt/114,1770,['air/N'],['thermometer/N']
air/Royal_Society_Corpus_open_v6.0_text_106018_1774.txt/172,1770,['air/N'],['Spirit/P']
air/Royal_Society_Corpus_open_v6.0_text_106051_1772.txt/18384,1770,['air/N'],['metal/N']
air/Royal_Society_Corpus_open_v6.0_text_106051_1772.txt/10346,1770,['air/N'],['quantity/N']
air/Royal_Society_Corpus_open_v6.0_text_105883_1770.txt/975,1770,['air/N'],['weather/N']
air/Royal_Society_Corpus_open_v6.0_text_106427_1779.txt/10882,1775,['air/N'],['gisticate/V']
air/Royal_Society_Corpus_open_v6.0_text_106258_1777.txt/11746,1775,['air/N'],['height/N']
air/Royal_Society_Corpus_open_v6.0_text_106429_1779.txt/902,1775,['air/N'],['time/N']
air/Royal_Society_Corpus_open_v6.0_text_106427_1779.txt/1564,1775,['air/N'],['air/N']
air/Royal_Society_Corpus_open_v6.0_text_106323_1778.txt/3447,1775,['air/N'],['fever/N']
air/Royal_Society_Corpus_open_v6.0_text_106458_1782.txt/12807,1780,['air/N'],['proceed/V']
air/Royal_Society_Corpus_open_v6.0_text_106582_1784.txt/3467,1780,['air/N'],['inflammable/A']
air/Royal_Society_Corpus_open_v6.0_text_106498_1783.txt/2207,1780,['air/N'],['air/N']
air/Royal_Society_Corpus_open_v6.0_text_106583_1784.txt/3359,1780,['air/N'],['air/N']
air/Royal_Society_Corpus_open_v6.0_text_106583_1784.txt/4851,1780,['air/N'],['phlogiston/N']
air/Royal_Society_Corpus_open_v6.0_text_106662_1788.txt/4273,1785,['air/N'],['quantity/N']
air/Royal_Society_Corpus_open_v6.0_text_106698_1789.txt/3005,1785,['air/N'],['measure/N']
air/Royal_Society_Corpus_open_v6.0_text_106699_1789.txt/4647,1785,['air/N'],['calx/N']
air/Royal_Society_Corpus_open_v6.0_text_106686_1789.txt/2847,1785,['air/N'],['phlogiston/N']
air/Royal_Society_Corpus_open_v6.0_text_106652_1788.txt/5569,1785,['air/N'],['water/N']
air/Royal_Society_Corpus_open_v6.0_text_106830_1790.txt/5686,1790,['air/N'],['water/N']
air/Royal_Society_Corpus_open_v6.0_text_106847_1790.txt/6028,1790,['air/N'],['air/N']
air/Royal_Society_Corpus_open_v6.0_text_106775_1792.txt/6021,1790,['air/N'],['gunposvder/N']
air/Royal_Society_Corpus_open_v6.0_text_106847_1790.txt/11805,1790,['air/N'],['substance/N']
air/Royal_Society_Corpus_open_v6.0_text_106847_1790.txt/6129,1790,['air/N'],['air/N']
air/Royal_Society_Corpus_open_v6.0_text_107013_1796.txt/10791,1795,['air/N'],['fire/N']
air/Royal_Society_Corpus_open_v6.0_text_106919_1797.txt/412,1795,['air/N'],['substance/N']
air/Royal_Society_Corpus_open_v6.0_text_106919_1797.txt/946,1795,['air/N'],['solution/N']
air/Royal_Society_Corpus_open_v6.0_text_107013_1796.txt/13732,1795,['air/N'],['water/N']
air/Royal_Society_Corpus_open_v6.0_text_106922_1797.txt/3773,1795,['air/N'],['gaz/N']
air/Royal_Society_Corpus_open_v6.0_text_107099_1801.txt/4898,1800,['air/N'],['sun/N']
air/Royal_Society_Corpus_open_v6.0_text_107069_1803.txt/509,1800,['air/N'],['vehement/A']
air/Royal_Society_Corpus_open_v6.0_text_109569_1800.txt/497,1800,['air/N'],['seem/V']
air/Royal_Society_Corpus_open_v6.0_text_109646_1800.txt/593,1800,['air/N'],['gas/N']
air/Royal_Society_Corpus_open_v6.0_text_107076_1803.txt/698,1800,['air/N'],['seem/V']
air/Royal_Society_Corpus_open_v6.0_text_107243_1807.txt/2648,1805,['air/N'],['oxygene/N']
air/Royal_Society_Corpus_open_v6.0_text_107283_1808.txt/6099,1805,['air/N'],['acid/N']
air/Royal_Society_Corpus_open_v6.0_text_107275_1809.txt/2324,1805,['air/N'],['ammonia/N']
air/Royal_Society_Corpus_open_v6.0_text_107157_1805.txt/557,1805,['air/N'],['ovi/N']
air/Royal_Society_Corpus_open_v6.0_text_107283_1808.txt/4711,1805,['air/N'],['acid/N']
air/Royal_Society_Corpus_open_v6.0_text_107221_1810.txt/3379,1810,['air/N'],['water/N']
air/Royal_Society_Corpus_open_v6.0_text_107224_1810.txt/9926,1810,['air/N'],['food/N']
air/Royal_Society_Corpus_open_v6.0_text_107343_1811.txt/1210,1810,['air/N'],['contact/N']
air/Royal_Society_Corpus_open_v6.0_text_107406_1813.txt/7375,1810,['air/N'],['moisture/N']
air/Royal_Society_Corpus_open_v6.0_text_107212_1810.txt/1324,1810,['air/N'],['sun/N']
air/Royal_Society_Corpus_open_v6.0_text_109872_1815.txt/151,1815,['air/N'],['gas/N']
air/Royal_Society_Corpus_open_v6.0_text_107474_1818.txt/6523,1815,['air/N'],['oxygen/N']
air/Royal_Society_Corpus_open_v6.0_text_109844_1815.txt/147,1815,['air/N'],['hydrogen/N']
air/Royal_Society_Corpus_open_v6.0_text_107573_1817.txt/7522,1815,['air/N'],['light/N']
air/Royal_Society_Corpus_open_v6.0_text_107574_1817.txt/1299,1815,['air/N'],['gas/N']
